Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
Tu,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'9:40
W,12140,IGP,8:30,9:0,CSMT,12:0,12:30,3:0,4:0,0:0,'18:55
Th,12171,LTT,7:25,7:55,IGP,10:15,10:45,2:20,3:20,0:0,'14:35
F,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
F,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'12:0
Sa,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'18:20
Su,16345,LTT,11:10,11:40,ROHA,14:10,14:40,2:30,3:30,0:0,'22:42
Duty 10 -
M,16346,ROHA,13:22,13:52,LTT,16:45,17:15,2:53,3:53,0:0,'17:45
Tu,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:50
W,12174,IGP,2:30,3:0,LTT,5:30,6:0,2:30,3:30,3:30,'16:5
W,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'12:20
Th,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'17:55
F,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:20
Sa,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'16:15
Su,12811,LTT,23:45,0:15,IGP,2:50,3:20,2:35,3:35,3:35,'9:30
Su,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'23:05
Duty 11 -
M,12107,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'7:55
Tu,12106,IGP,3:20,3:50,CSMT,6:50,7:20,3:0,4:0,2:40,'16:5
Tu,11041,DR,23:25,23:55,PUNE,3:35,4:5,3:40,4:40,4:40,'11:30
W,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'19:25
Th,15102,LTT,16:10,16:40,IGP,20:0,20:30,3:20,4:20,0:0,'11:40
F,22178,IGP,8:10,8:40,CSMT,11:40,12:10,3:0,4:0,0:0,'18:20
Sa,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'12:45
Su,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:15
Su,11005,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'13:25
Duty 12 -
M,16352,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'17:45
Tu,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:20
W,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'21:50
Th,22119,CSMT,5:20,5:50,RN,11:0,11:30,5:10,6:10,0:40,'16:45
F,12202,RN,4:15,4:45,LTT,11:45,12:15,7:0,8:0,1:45,'30:20
Sa,12105,CSMT,18:35,19:5,IGP,21:45,22:15,2:40,3:40,0:15,'10:15
Su,12140,IGP,8:30,9:0,CSMT,12:0,12:30,3:0,4:0,0:0,'19:05
Duty 13 -
M,14313,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'14:5
Tu,18030,IGP,1:10,1:40,LTT,4:5,4:35,2:25,3:25,3:25,'16:5
Tu,12809,CSMT,20:40,21:10,IGP,23:50,0:20,2:40,3:40,2:20,'9:25
W,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'16:10
Th,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'8:30
Th,22106,PUNE,18:5,18:35,CSMT,22:0,22:30,3:25,4:25,0:30,'20:5
F,12105,CSMT,18:35,19:5,IGP,21:45,22:15,2:40,3:40,0:15,'11:5
Sa,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'17:50
Su,12336,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'14:05
Duty 14 -
M,18030,IGP,1:10,1:40,LTT,4:5,4:35,2:25,3:25,3:25,'16:57
M,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'27:20
W,12617,RN,7:20,7:50,KYN,13:27,13:57,5:37,6:37,0:0,'22:18
Th,22159,CSMT,12:15,12:45,PUNE,16:23,16:53,3:38,4:38,0:0,'9:5
F,11042,PUNE,1:58,2:28,DR,6:35,7:5,4:7,5:7,4:2,'24:55
Sa,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'26:15
Su,17612,CSMT,18:15,18:45,IGP,21:25,21:55,2:40,3:40,0:0,'10:15
Duty 15 -
M,22178,IGP,8:10,8:40,CSMT,11:40,12:10,3:0,4:0,0:0,'17:20
Tu,12859,CSMT,5:30,6:0,IGP,8:45,9:15,2:45,3:45,0:30,'15:55
W,18030,IGP,1:10,1:40,LTT,4:5,4:35,2:25,3:25,3:25,'16:5
W,12809,CSMT,20:40,21:10,IGP,23:50,0:20,2:40,3:40,2:20,'9:0
Th,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'16:20
F,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'16:5
Sa,20104,IGP,1:45,2:15,LTT,4:35,5:5,2:20,3:20,3:20,'16:10
Sa,12131,DR,21:15,21:45,IGP,0:10,0:40,2:25,3:25,2:40,'10:30
Su,12142,IGP,11:10,11:40,LTT,14:10,14:40,2:30,3:30,0:0,'22:10
Duty 16 -
M,22179,LTT,12:50,13:20,PUNE,16:40,17:10,3:20,4:20,0:0,'9:30
Tu,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'16:35
W,22538,LTT,0:5,0:35,IGP,3:15,3:45,2:40,3:40,3:40,'14:20
W,12533,IGP,18:5,18:35,CSMT,22:45,23:15,4:10,5:10,1:15,'19:20
Th,12105,CSMT,18:35,19:5,IGP,21:45,22:15,2:40,3:40,0:15,'11:30
F,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'16:10
Sa,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'7:50
Sa,12128,PUNE,17:25,17:55,CSMT,21:5,21:35,3:10,4:10,0:0,'18:20
Su,12742,KYN,15:55,16:25,RN,22:40,23:10,6:15,7:15,1:10,'18:35
Duty 17 -
M,12052,RN,17:45,18:15,CSMT,23:30,0:0,5:15,6:15,2:0,'16:5
Tu,11401,CSMT,16:5,16:35,IGP,19:15,19:45,2:40,3:40,0:0,'9:5
W,12290,IGP,4:50,5:20,CSMT,8:5,8:35,2:45,3:45,1:10,'20:5
Th,12051,CSMT,4:40,5:10,RN,10:30,11:0,5:20,6:20,1:20,'12:25
Th,12620,RN,23:25,23:55,LTT,6:35,7:5,6:40,7:40,6:35,'33:5
Sa,12546,LTT,16:10,16:40,IGP,20:0,20:30,3:20,4:20,0:0,'10:25
Su,17611,IGP,6:55,7:25,CSMT,10:7,10:37,2:42,3:42,0:0,'19:28
Duty 18 -
M,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'25:55
Tu,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'21:40
W,17318,DR,19:55,20:25,PUNE,0:2,0:32,3:37,4:37,2:32,'6:53
Th,17221,PUNE,7:25,7:55,LTT,11:0,11:30,3:5,4:5,0:0,'31:55
F,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'10:35
Sa,12812,IGP,10:0,10:30,LTT,13:0,13:30,2:30,3:30,0:0,'17:10
Su,10103,CSMT,6:40,7:10,RN,13:35,14:5,6:25,7:25,0:0,'21:55
Duty 19 -
M,12224,RN,12:0,12:30,LTT,18:15,18:45,5:45,6:45,0:0,'21:40
Tu,22113,LTT,16:25,16:55,RN,22:27,22:57,5:32,6:32,0:57,'23:13
W,12134,RN,22:10,22:40,CSMT,4:35,5:5,5:55,6:55,6:55,'25:20
F,18520,LTT,6:25,6:55,PUNE,10:20,10:50,3:25,4:25,0:0,'13:55
Sa,12702,PUNE,0:45,1:15,CSMT,4:55,5:25,3:40,4:40,4:40,'16:7
Sa,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'18:10
Su,12134,RN,22:10,22:40,CSMT,4:35,5:5,5:55,6:55,6:55,'16:10
Duty 20 -
M,12131,DR,21:15,21:45,IGP,0:10,0:40,2:25,3:25,2:40,'9:20
Tu,12880,IGP,10:0,10:30,LTT,13:0,13:30,2:30,3:30,0:0,'16:35
W,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'24:5
Th,12224,RN,12:0,12:30,LTT,18:15,18:45,5:45,6:45,0:0,'16:15
F,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'12:25
Sa,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
Sa,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'9:40
Su,11060,IGP,12:15,12:45,LTT,15:20,15:50,2:35,3:35,0:0,'21:40
Duty 21 -
M,11071,LTT,13:30,14:0,IGP,16:25,16:55,2:25,3:25,0:0,'10:10
Tu,12112,IGP,3:5,3:35,CSMT,6:15,6:45,2:40,3:40,2:55,'16:15
Tu,11057,CSMT,23:0,23:30,IGP,2:15,2:45,2:45,3:45,3:45,'10:5
W,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'18:10
Th,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:35
F,11402,IGP,2:15,2:45,CSMT,5:35,6:5,2:50,3:50,3:45,'16:10
F,12115,CSMT,22:15,22:45,PUNE,2:20,2:50,3:35,4:35,4:35,'12:45
Sa,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'16:5
Su,17222,LTT,12:50,13:20,PUNE,16:40,17:10,3:20,4:20,0:0,'09:15
Duty 22 -
M,12116,PUNE,2:25,2:55,CSMT,6:35,7:5,3:40,4:40,3:35,'24:55
Tu,WTG,LTT,8:0,8:0,LTT,16:0,16:0,8:0,8:0,0:0,'25:45
W,12109,CSMT,17:45,18:15,IGP,20:50,21:20,2:35,3:35,0:0,'7:50
Th,12262,IGP,5:10,5:40,CSMT,8:15,8:45,2:35,3:35,0:50,'20:8
F,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'13:0
F,11062,IGP,21:30,22:0,LTT,0:25,0:55,2:25,3:25,2:55,'16:25
Sa,11009,CSMT,17:20,17:50,PUNE,22:20,22:50,4:30,5:30,0:50,'8:35
Su,17221,PUNE,7:25,7:55,LTT,11:0,11:30,3:5,4:5,0:0,'19:00
After working duty number 22 the crew will pick up duty number 1
Duty 23 -
M,12534,CSMT,7:55,8:25,IGP,11:0,11:30,2:35,3:35,0:0,'13:50
Tu,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
Tu,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'9:10
W,22866,IGP,10:0,10:30,LTT,13:0,13:30,2:30,3:30,0:0,'16:35
Th,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'15:15
F,12102,IGP,0:55,1:25,LTT,3:55,4:25,2:30,3:30,3:30,'16:5
F,22143,CSMT,20:30,21:0,PUNE,0:40,1:10,3:40,4:40,3:10,'10:10
Sa,12164,PUNE,11:20,11:50,LTT,15:40,16:10,3:50,4:50,0:0,'19:47
Su,12284,BSR,11:57,14:12,RN,20:25,20:55,6:13,8:58,0:0,'17:40
Duty 24 -
M,12977,RN,14:35,15:5,BSR,21:15,23:30,6:10,8:55,1:30,'22:35
Tu,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'12:30
W,16340,PUNE,14:55,15:25,CSMT,19:15,19:45,3:50,4:50,0:0,'23:40
Th,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'11:45
F,12142,IGP,11:10,11:40,LTT,14:10,14:40,2:30,3:30,0:0,'16:55
Sa,15645,LTT,7:35,8:5,IGP,10:35,11:5,2:30,3:30,0:0,'14:15
Su,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
Su,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'10:40
Duty 25 -
