Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
M,11030,PUNE,15:20,15:50,CSMT,20:5,20:35,4:15,5:15,0:0,'19:25
Tu,WTG,LTT,16:0,16:0,LTT,0:0,0:0,8:0,8:0,2:0,'19:33
W,12432,BSR,19:33,21:48,RN,3:5,3:35,5:17,8:2,5:35,'17:0
Th,22655,RN,20:35,21:5,BSR,4:50,7:5,7:45,10:30,8:0,'37:15
Sa,16337,BSR,20:20,22:35,RN,4:10,4:40,5:35,8:20,6:40,'26:40
Duty 38 -
M,12617,RN,7:20,7:50,KYN,13:27,13:57,5:37,6:37,0:0,'26:3
Tu,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'20:5
W,12151,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'9:25
Th,12187,IGP,9:0,9:30,CSMT,12:20,12:50,2:50,3:50,0:0,'28:5
F,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:5
Sa,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'19:10
Su,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'11:35
Su,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'20:00
Duty 39 -
M,12809,CSMT,20:40,21:10,IGP,23:50,0:20,2:40,3:40,2:20,'9:25
Tu,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'16:10
W,22105,CSMT,5:10,5:40,PUNE,9:5,9:35,3:25,4:25,0:50,'7:50
W,12128,PUNE,17:25,17:55,CSMT,21:5,21:35,3:10,4:10,0:0,'16:5
Th,22732,CSMT,13:40,14:10,PUNE,18:5,18:35,3:55,4:55,0:0,'8:30
F,17412,PUNE,3:5,3:35,CSMT,7:25,7:55,3:50,4:50,2:55,'16:10
Sa,22538,LTT,0:5,0:35,IGP,3:15,3:45,2:40,3:40,3:40,'14:55
Sa,12870,IGP,18:40,19:10,CSMT,23:0,23:30,3:50,4:50,1:30,'16:35
Su,11401,CSMT,16:5,16:35,IGP,19:15,19:45,2:40,3:40,0:0,'09:05
Duty 40 -
M,12290,IGP,4:50,5:20,CSMT,8:5,8:35,2:45,3:45,1:10,'20:25
Tu,17617,CSMT,5:0,5:30,IGP,8:13,8:43,2:43,3:43,1:0,'12:47
Tu,11062,IGP,21:30,22:0,LTT,0:25,0:55,2:25,3:25,2:55,'16:25
W,11009,CSMT,17:20,17:50,PUNE,22:20,22:50,4:30,5:30,0:50,'8:30
Th,12126,PUNE,7:20,7:50,CSMT,11:25,11:55,3:35,4:35,0:0,'26:30
F,12139,CSMT,14:25,14:55,IGP,17:40,18:10,2:45,3:45,0:0,'10:5
Sa,12154,IGP,4:15,4:45,LTT,7:25,7:55,2:40,3:40,1:45,'16:5
Su,WTG,CSMT,0:0,0:0,CSMT,8:0,8:0,8:0,8:0,6:0,'21:20
Duty 41 -
M,22119,CSMT,5:20,5:50,RN,11:0,11:30,5:10,6:10,0:40,'21:20
Tu,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'27:5
W,16339,CSMT,20:5,20:35,PUNE,0:20,0:50,3:45,4:45,2:50,'7:0
Th,22160,PUNE,7:50,8:20,CSMT,12:30,13:0,4:10,5:10,0:0,'31:20
F,16335,BSR,20:20,22:35,RN,4:10,4:40,5:35,8:20,6:40,'13:5
Sa,12052,RN,17:45,18:15,CSMT,23:30,0:0,5:15,6:15,2:0,'20:5
Su,12145,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'10:25
Duty 42 -
M,22847,IGP,10:0,10:30,LTT,13:0,13:30,2:30,3:30,0:0,'16:35
Tu,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'15:40
W,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'16:5
W,17057,CSMT,21:0,21:30,IGP,0:20,0:50,2:50,3:50,2:50,'10:20
Th,12142,IGP,11:10,11:40,LTT,14:10,14:40,2:30,3:30,0:0,'17:0
F,11301,CSMT,7:40,8:10,PUNE,11:45,12:15,3:35,4:35,0:0,'13:25
Sa,11022,PUNE,1:40,2:10,DR,5:30,6:0,3:20,4:20,4:20,'16:15
Sa,12167,LTT,22:15,22:45,IGP,1:25,1:55,2:40,3:40,3:40,'10:0
Su,11080,IGP,11:55,12:25,LTT,15:5,15:35,2:40,3:40,0:0,'21:55
Duty 43 -
M,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'8:45
Tu,17412,PUNE,3:5,3:35,CSMT,7:25,7:55,3:50,4:50,2:55,'29:5
W,12598,CSMT,13:0,13:30,IGP,16:10,16:40,2:40,3:40,0:0,'10:5
Th,15101,IGP,2:45,3:15,LTT,5:50,6:20,2:35,3:35,3:15,'16:15
Th,20111,CSMT,22:35,23:5,RN,4:45,5:15,5:40,6:40,6:40,'9:25
F,22907,RN,14:40,15:10,BSR,21:15,23:30,6:5,8:50,1:30,'21:50
Sa,12701,CSMT,21:20,21:50,PUNE,1:30,2:0,3:40,4:40,4:0,'12:45
Su,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'21:05
Duty 44 -
M,12123,CSMT,16:40,17:10,PUNE,20:25,20:55,3:15,4:15,0:0,'11:35
Tu,22731,PUNE,8:30,9:0,CSMT,13:5,13:35,4:5,5:5,0:0,'18:25
W,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'24:5
Th,11401,CSMT,16:5,16:35,IGP,19:15,19:45,2:40,3:40,0:0,'11:10
F,17611,IGP,6:55,7:25,CSMT,10:7,10:37,2:42,3:42,0:0,'18:16
Sa,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'11:15
Sa,11072,IGP,19:45,20:15,LTT,22:55,23:25,2:40,3:40,1:25,'16:5
Su,17613,PNVL,15:30,16:0,PUNE,19:25,19:55,3:25,4:25,0:0,'09:55
Duty 45 -
M,17614,PUNE,5:50,6:20,PNVL,9:0,9:30,2:40,3:40,0:10,'18:20
Tu,22660,BSR,3:50,6:5,RN,12:25,12:55,6:20,9:5,2:10,'28:50
W,12052,RN,17:45,18:15,CSMT,23:30,0:0,5:15,6:15,2:0,'20:5
Th,12151,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'12:40
F,11060,IGP,12:15,12:45,LTT,15:20,15:50,2:35,3:35,0:0,'16:10
Sa,WTG,LTT,8:0,8:0,LTT,16:0,16:0,8:0,8:0,0:0,'25:45
Su,12109,CSMT,17:45,18:15,IGP,20:50,21:20,2:35,3:35,0:0,'10:15
Duty 46 -
M,12110,IGP,7:35,8:5,CSMT,10:45,11:15,2:40,3:40,0:0,'17:25
Tu,12051,CSMT,4:40,5:10,RN,10:30,11:0,5:20,6:20,1:20,'26:50
W,10104,RN,13:50,14:20,CSMT,21:45,22:15,7:25,8:25,0:15,'21:40
Th,17318,DR,19:55,20:25,PUNE,0:2,0:32,3:37,4:37,2:32,'9:18
F,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'25:50
Sa,11401,CSMT,16:5,16:35,IGP,19:15,19:45,2:40,3:40,0:0,'9:5
Su,12290,IGP,4:50,5:20,CSMT,8:5,8:35,2:45,3:45,1:10,'20:55
Duty 47 -
M,12165,LTT,5:30,6:0,IGP,8:25,8:55,2:25,3:25,0:30,'10:50
M,11072,IGP,19:45,20:15,LTT,22:55,23:25,2:40,3:40,1:25,'17:30
Tu,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:5
W,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'19:15
Th,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'12:53
Th,11020,PUNE,23:20,23:50,CSMT,4:0,4:30,4:10,5:10,5:10,'16:5
F,22656,BSR,20:35,22:50,RN,5:0,5:30,6:10,8:55,7:30,'15:5
Sa,22149,RN,20:35,21:5,PUNE,5:50,6:20,8:45,9:45,8:0,'11:45
Su,22106,PUNE,18:5,18:35,CSMT,22:0,22:30,3:25,4:25,0:30,'20:35
Duty 48 -
M,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'9:40
Tu,12140,IGP,8:30,9:0,CSMT,12:0,12:30,3:0,4:0,0:0,'17:40
W,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'7:38
W,22106,PUNE,18:5,18:35,CSMT,22:0,22:30,3:25,4:25,0:30,'16:50
Th,15066,PNVL,15:20,15:50,IGP,18:30,19:0,2:40,3:40,0:0,'9:15
F,18609,IGP,4:15,4:45,LTT,7:25,7:55,2:40,3:40,1:45,'16:5
Sa,WTG,CSMT,0:0,0:0,CSMT,8:0,8:0,8:0,8:0,6:0,'24:0
Su,WTG,LTT,8:0,8:0,LTT,16:0,16:0,8:0,8:0,0:0,'22:25
Duty 49 -
M,12139,CSMT,14:25,14:55,IGP,17:40,18:10,2:45,3:45,0:0,'8:55
Tu,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
Tu,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'9:40
W,11056,IGP,12:15,12:45,LTT,15:20,15:50,2:35,3:35,0:0,'16:5
Th,12534,CSMT,7:55,8:25,IGP,11:0,11:30,2:35,3:35,0:0,'14:15
F,20104,IGP,1:45,2:15,LTT,4:35,5:5,2:20,3:20,3:20,'16:10
F,22147,DR,21:15,21:45,IGP,0:10,0:40,2:25,3:25,2:40,'11:35
Sa,11056,IGP,12:15,12:45,LTT,15:20,15:50,2:35,3:35,0:0,'16:5
Su,12534,CSMT,7:55,8:25,IGP,11:0,11:30,2:35,3:35,0:0,'13:50
Duty 50 -
M,12810,IGP,1:20,1:50,CSMT,4:25,4:55,2:35,3:35,3:35,'17:20
M,12115,CSMT,22:15,22:45,PUNE,2:20,2:50,3:35,4:35,4:35,'14:35
Tu,12128,PUNE,17:25,17:55,CSMT,21:5,21:35,3:10,4:10,0:0,'19:20
W,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'6:25
Th,17412,PUNE,3:5,3:35,CSMT,7:25,7:55,3:50,4:50,2:55,'24:15
F,11029,CSMT,8:10,8:40,PUNE,12:45,13:15,4:5,5:5,0:0,'12:43
Sa,11042,PUNE,1:58,2:28,DR,6:35,7:5,4:7,5:7,4:2,'24:45
Su,19578,BSR,7:50,10:5,RN,15:50,16:20,5:45,8:30,0:0,'20:50
Duty 51 -
M,22413,RN,13:10,13:40,BSR,19:45,22:0,6:5,8:50,0:0,'23:45
Tu,12322,CSMT,21:45,22:15,IGP,0:55,1:25,2:40,3:40,3:25,'9:45
W,12142,IGP,11:10,11:40,LTT,14:10,14:40,2:30,3:30,0:0,'17:20
Th,WTG,LTT,8:0,8:0,LTT,16:0,16:0,8:0,8:0,0:0,'27:33
F,22414,BSR,19:33,21:48,RN,3:5,3:35,5:17,8:2,5:35,'11:50
Sa,16338,RN,15:25,15:55,BSR,23:10,1:25,7:15,10:0,3:25,'46:20
Duty 52 -
M,12811,LTT,23:45,0:15,IGP,2:50,3:20,2:35,3:35,3:35,'10:55
M,15018,IGP,14:15,14:45,LTT,17:15,17:45,2:30,3:30,0:0,'23:0
Tu,12261,CSMT,16:45,17:15,IGP,19:35,20:5,2:20,3:20,0:0,'9:5
W,12262,IGP,5:10,5:40,CSMT,8:15,8:45,2:35,3:35,0:50,'20:8
Th,20103,LTT,4:53,5:23,IGP,8:0,8:30,2:37,3:37,1:7,'9:50
Th,12533(P),IGP,18:20,18:35,CSMT,22:45,23:0,4:10,4:40,1:0,'18:45
F,12109,CSMT,17:45,18:15,IGP,20:50,21:20,2:35,3:35,0:0,'10:50
Sa,22178,IGP,8:10,8:40,CSMT,11:40,12:10,3:0,4:0,0:0,'17:55
Su,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'20:55
Duty 53 -
M,16346(P),RN,8:50,9:5,LTT,16:45,17:0,7:40,8:10,0:0,'27:5
Tu,12101,LTT,20:5,20:35,IGP,23:5,23:35,2:30,3:30,1:35,'9:45
W,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'18:15
Th,WTG,CSMT,8:0,8:0,CSMT,16:0,16:0,8:0,8:0,0:0,'27:55
F,17318,DR,19:55,20:25,PUNE,0:2,0:32,3:37,4:37,2:32,'7:58
Sa,22731,PUNE,8:30,9:0,CSMT,13:5,13:35,4:5,5:5,0:0,'27:20
Su,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:05
Duty 54 -
M,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'19:10
Tu,12618,PNVL,6:5,6:35,RN,11:25,11:55,4:50,5:50,0:0,'27:30
W,16336,RN,15:25,15:55,BSR,23:10,1:25,7:15,10:0,3:25,'19:5
Th,22107,CSMT,20:30,21:0,PUNE,0:40,1:10,3:40,4:40,3:10,'13:35
F,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'24:20
Sa,17318,DR,19:55,20:25,PUNE,0:2,0:32,3:37,4:37,2:32,'7:18
Su,22160,PUNE,7:50,8:20,CSMT,12:30,13:0,4:10,5:10,0:0,'18:55
After working duty number 54 the crew will pick up duty number 23
Duty 55 -
M,22184,IGP,12:30,13:0,LTT,16:5,16:35,3:5,4:5,0:0,'19:40
Tu,22159,CSMT,12:15,12:45,PUNE,16:23,16:53,3:38,4:38,0:0,'9:32
W,12116,PUNE,2:25,2:55,CSMT,6:35,7:5,3:40,4:40,3:35,'16:35
Th,22177,CSMT,23:40,0:10,IGP,3:0,3:30,2:50,3:50,3:50,'14:15
Th,22130,IGP,17:45,18:15,LTT,20:50,21:20,2:35,3:35,0:0,'16:10
F,11071,LTT,13:30,14:0,IGP,16:25,16:55,2:25,3:25,0:0,'11:10
Sa,12138,IGP,4:5,4:35,CSMT,7:35,8:5,3:0,4:0,1:55,'16:10
Su,11099,LTT,0:15,0:45,ROHA,3:15,3:45,2:30,3:30,3:30,'23:15
Duty 56 -
M,11004,ROHA,3:0,3:30,DR,6:40,7:10,3:10,4:10,3:0,'16:35
Tu,22848,LTT,23:45,0:15,IGP,2:50,3:20,2:35,3:35,3:35,'14:45
Tu,12533,IGP,18:5,18:35,CSMT,22:45,23:15,4:10,5:10,1:15,'19:50
W,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'9:20
Th,22178,IGP,8:10,8:40,CSMT,11:40,12:10,3:0,4:0,0:0,'18:30
F,10103,CSMT,6:40,7:10,RN,13:35,14:5,6:25,7:25,0:0,'9:20
F,12620,RN,23:25,23:55,LTT,6:35,7:5,6:40,7:40,6:35,'36:50
Su,17318,DR,19:55,20:25,PUNE,0:2,0:32,3:37,4:37,2:32,'09:18
Duty 57 -
M,11014,PUNE,9:50,10:20,LTT,13:45,14:15,3:25,4:25,0:0,'16:10
Tu,18520,LTT,6:25,6:55,PUNE,10:20,10:50,3:25,4:25,0:0,'13:55
W,12702,PUNE,0:45,1:15,CSMT,4:55,5:25,3:40,4:40,4:40,'17:10
W,20111,CSMT,22:35,23:5,RN,4:45,5:15,5:40,6:40,6:40,'12:55
Th,22120,RN,18:10,18:40,CSMT,23:55,0:25,5:15,6:15,2:25,'36:35
Sa,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'10:36
Su,12152,IGP,2:30,3:0,LTT,5:30,6:0,2:30,3:30,3:30,'16:5
Su,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'13:10
Duty 58 -
M,11302,PUNE,15:35,16:5,CSMT,20:15,20:45,4:10,5:10,0:0,'19:10
Tu,12173,LTT,15:55,16:25,IGP,18:55,19:25,2:30,3:30,0:0,'8:50
W,12144,IGP,4:15,4:45,LTT,7:25,7:55,2:40,3:40,1:45,'16:5
Th,WTG,CSMT,0:0,0:0,CSMT,8:0,8:0,8:0,8:0,6:0,'22:30
F,11007,CSMT,6:30,7:0,PUNE,11:5,11:35,4:5,5:5,0:0,'13:20
Sa,11140,PUNE,0:55,1:25,CSMT,5:10,5:40,3:45,4:45,4:45,'16:5
Sa,12322,CSMT,21:45,22:15,IGP,0:55,1:25,2:40,3:40,3:25,'10:30
Su,15065,IGP,11:55,12:25,PNVL,14:50,15:20,2:25,3:25,0:0,'22:00
Duty 59 -
M,20924,BSR,13:20,15:35,RN,21:50,22:20,6:15,9:0,0:20,'25:5
Tu,12620,RN,23:25,23:55,LTT,6:35,7:5,6:40,7:40,6:35,'29:55
Th,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'10:36
F,12174,IGP,2:30,3:0,LTT,5:30,6:0,2:30,3:30,3:30,'16:5
F,11013,LTT,22:5,22:35,PUNE,1:55,2:25,3:20,4:20,4:20,'12:55
Sa,11030,PUNE,15:20,15:50,CSMT,20:5,20:35,4:15,5:15,0:0,'17:5
Su,22732,CSMT,13:40,14:10,PUNE,18:5,18:35,3:55,4:55,0:0,'08:30
Duty 60 -
M,17412,PUNE,3:5,3:35,CSMT,7:25,7:55,3:50,4:50,2:55,'28:50
Tu,22511,LTT,12:45,13:15,IGP,15:37,16:7,2:22,3:22,0:0,'10:58
W,12112,IGP,3:5,3:35,CSMT,6:15,6:45,2:40,3:40,2:55,'16:15
W,11057,CSMT,23:0,23:30,IGP,2:15,2:45,2:45,3:45,3:45,'10:5
Th,12072,IGP,12:50,13:20,CSMT,16:20,16:50,3:0,4:0,0:0,'17:45
F,82356,CSMT,10:35,11:5,IGP,13:55,14:25,2:50,3:50,0:0,'12:40
Sa,12112,IGP,3:5,3:35,CSMT,6:15,6:45,2:40,3:40,2:55,'16:15
Sa,11057,CSMT,23:0,23:30,IGP,2:15,2:45,2:45,3:45,3:45,'9:45
Su,12162,IGP,12:30,13:0,LTT,16:5,16:35,3:5,4:5,0:0,'22:55
Duty 61 -
M,17613,PNVL,15:30,16:0,PUNE,19:25,19:55,3:25,4:25,0:0,'10:50
Tu,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'21:0
W,12534,CSMT,7:55,8:25,IGP,11:0,11:30,2:35,3:35,0:0,'13:40
Th,18030,IGP,1:10,1:40,LTT,4:5,4:35,2:25,3:25,3:25,'16:5
Th,12809,CSMT,20:40,21:10,IGP,23:50,0:20,2:40,3:40,2:20,'12:10
F,22184,IGP,12:30,13:0,LTT,16:5,16:35,3:5,4:5,0:0,'18:25
Sa,11061,LTT,11:0,11:30,IGP,14:10,14:40,2:40,3:40,0:0,'11:35
Su,11402,IGP,2:15,2:45,CSMT,5:35,6:5,2:50,3:50,3:45,'16:10
Su,12115,CSMT,22:15,22:45,PUNE,2:20,2:50,3:35,4:35,4:35,'14:35
Duty 62 -
M,12128,PUNE,17:25,17:55,CSMT,21:5,21:35,3:10,4:10,0:0,'16:5
Tu,22732,CSMT,13:40,14:10,PUNE,18:5,18:35,3:55,4:55,0:0,'8:30
W,17412,PUNE,3:5,3:35,CSMT,7:25,7:55,3:50,4:50,2:55,'16:10
Th,22538,LTT,0:5,0:35,IGP,3:15,3:45,2:40,3:40,3:40,'14:20
Th,12533,IGP,18:5,18:35,CSMT,22:45,23:15,4:10,5:10,1:15,'19:50
F,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'10:55
Sa,12168,IGP,9:45,10:15,LTT,12:30,13:0,2:15,3:15,0:0,'16:30
Su,22129,LTT,5:30,6:0,IGP,8:25,8:55,2:25,3:25,0:30,'9:25
Su,12533(P),IGP,18:20,18:35,CSMT,22:45,23:0,4:10,4:40,1:0,'20:25
Duty 63 -
M,12111,CSMT,19:25,19:55,IGP,22:55,23:25,3:0,4:0,1:25,'9:35
Tu,12187,IGP,9:0,9:30,CSMT,12:20,12:50,2:50,3:50,0:0,'17:35
W,18520,LTT,6:25,6:55,PUNE,10:20,10:50,3:25,4:25,0:0,'7:25
W,22150,PUNE,18:15,18:45,RN,1:45,2:15,7:0,8:0,4:15,'14:35
Th,22116,RN,16:50,17:20,LTT,23:25,23:55,6:5,7:5,1:55,'40:5
Sa,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'19:33
Su,12432,BSR,19:33,21:48,RN,3:5,3:35,5:17,8:2,5:35,'27:45
Duty 64 -
Tu,12617,RN,7:20,7:50,KYN,13:27,13:57,5:37,6:37,0:0,'16:8
W,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'11:35
W,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'16:5
Th,12261,CSMT,16:45,17:15,IGP,19:35,20:5,2:20,3:20,0:0,'11:30
F,12110,IGP,7:35,8:5,CSMT,10:45,11:15,2:40,3:40,0:0,'16:35
Sa,12218,BSR,3:50,6:5,ROHA,8:57,9:27,2:52,5:37,2:10,'23:38
Su,12217,ROHA,9:5,9:35,BSR,12:45,15:0,3:10,5:55,0:0,'22:00
Duty 65 -
M,12617,KYN,13:0,13:30,IGP,15:24,15:54,1:54,2:54,0:0,'10:21
Tu,11402,IGP,2:15,2:45,CSMT,5:35,6:5,2:50,3:50,3:45,'16:10
Tu,12115,CSMT,22:15,22:45,PUNE,2:20,2:50,3:35,4:35,4:35,'12:30
W,11030,PUNE,15:20,15:50,CSMT,20:5,20:35,4:15,5:15,0:0,'16:25
Th,12188,CSMT,13:0,13:30,IGP,16:10,16:40,2:40,3:40,0:0,'10:25
F,12112,IGP,3:5,3:35,CSMT,6:15,6:45,2:40,3:40,2:55,'16:15
F,11057,CSMT,23:0,23:30,IGP,2:15,2:45,2:45,3:45,3:45,'15:20
Sa,12533,IGP,18:5,18:35,CSMT,22:45,23:15,4:10,5:10,1:15,'16:5
Su,12143,LTT,15:20,15:50,IGP,18:30,19:0,2:40,3:40,0:0,'08:05
Duty 66 -
M,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
M,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'11:40
Tu,15018,IGP,14:15,14:45,LTT,17:15,17:45,2:30,3:30,0:0,'21:45
W,17613,PNVL,15:30,16:0,PUNE,19:25,19:55,3:25,4:25,0:0,'6:45
Th,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'22:40
F,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'13:53
Sa,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:15
Sa,11021,DR,21:0,21:30,PUNE,1:0,1:30,3:30,4:30,3:30,'9:50
Su,12164,PUNE,11:20,11:50,LTT,15:40,16:10,3:50,4:50,0:0,'22:40
Duty 67 -
M,12619,LTT,14:50,15:20,RN,21:0,21:30,5:40,6:40,0:0,'23:0
Tu,22114,RN,20:30,21:0,LTT,3:45,4:15,6:45,7:45,6:15,'19:30
Th,22865,LTT,23:45,0:15,IGP,2:50,3:20,2:35,3:35,3:35,'10:55
Th,15018,IGP,14:15,14:45,LTT,17:15,17:45,2:30,3:30,0:0,'22:15
F,WTG,CSMT,16:0,16:0,CSMT,0:0,0:0,8:0,8:0,2:0,'20:5
Sa,16339,CSMT,20:5,20:35,PUNE,0:20,0:50,3:45,4:45,2:50,'7:40
Su,22731,PUNE,8:30,9:0,CSMT,13:5,13:35,4:5,5:5,0:0,'18:35
Duty 68 -
M,11029,CSMT,8:10,8:40,PUNE,12:45,13:15,4:5,5:5,0:0,'12:43
Tu,11028,PUNE,1:58,2:28,DR,6:35,7:5,4:7,5:7,4:2,'30:35
W,22732,CSMT,13:40,14:10,PUNE,18:5,18:35,3:55,4:55,0:0,'7:50
Th,12116,PUNE,2:25,2:55,CSMT,6:35,7:5,3:40,4:40,3:35,'17:0
F,22538,LTT,0:5,0:35,IGP,3:15,3:45,2:40,3:40,3:40,'17:30
F,22537,IGP,21:15,21:45,LTT,0:10,0:40,2:25,3:25,2:40,'16:15
Sa,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'9:10
Su,17614,PUNE,5:50,6:20,PNVL,9:0,9:30,2:40,3:40,0:10,'20:35
Duty 69 -
M,15017,LTT,6:5,6:35,IGP,9:10,9:40,2:35,3:35,0:0,'11:50
M,11062,IGP,21:30,22:0,LTT,0:25,0:55,2:25,3:25,2:55,'16:25
Tu,11009,CSMT,17:20,17:50,PUNE,22:20,22:50,4:30,5:30,0:50,'9:0
W,22160,PUNE,7:50,8:20,CSMT,12:30,13:0,4:10,5:10,0:0,'27:55
Th,12123(P),CSMT,16:55,17:10,PUNE,20:25,20:40,3:15,3:45,0:0,'10:5
F,12124,PUNE,6:45,7:15,CSMT,10:25,10:55,3:10,4:10,0:0,'19:15
Sa,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'7:38
Sa,22106,PUNE,18:5,18:35,CSMT,22:0,22:30,3:25,4:25,0:30,'20:35
Su,12137,CSMT,19:5,19:35,IGP,22:20,22:50,2:45,3:45,0:50,'10:30
Duty 70 -
M,12321,IGP,9:20,9:50,CSMT,13:15,13:45,3:25,4:25,0:0,'16:25
Tu,12127,CSMT,6:10,6:40,PUNE,9:57,10:27,3:17,4:17,0:0,'13:53
W,18519,PUNE,0:20,0:50,LTT,4:15,4:45,3:25,4:25,4:25,'16:47
W,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'13:45
Th,12052,RN,17:45,18:15,CSMT,23:30,0:0,5:15,6:15,2:0,'31:40
Sa,11301,CSMT,7:40,8:10,PUNE,11:45,12:15,3:35,4:35,0:0,'12:30
Su,12702,PUNE,0:45,1:15,CSMT,4:55,5:25,3:40,4:40,4:40,'16:7
Su,12133,CSMT,21:32,22:2,RN,3:30,4:0,5:28,6:28,6:0,'18:10
Duty 71 -
M,12134,RN,22:10,22:40,CSMT,4:35,5:5,5:55,6:55,6:55,'16:15
Tu,12701,CSMT,21:20,21:50,PUNE,1:30,2:0,3:40,4:40,4:0,'12:45
W,11008,PUNE,14:45,15:15,CSMT,19:5,19:35,3:50,4:50,0:0,'16:22
Th,22475,BSR,11:57,14:12,ROHA,17:0,17:30,2:48,5:33,0:0,'26:10
F,19259,ROHA,19:40,20:10,BSR,23:10,1:25,3:0,5:45,3:25,'16:20
Sa,12109,CSMT,17:45,18:15,IGP,20:50,21:20,2:35,3:35,0:0,'10:15
Su,12110,IGP,7:35,8:5,CSMT,10:45,11:15,2:40,3:40,0:0,'19:10
Duty 72 -
M,18520,LTT,6:25,6:55,PUNE,10:20,10:50,3:25,4:25,0:0,'13:55
Tu,12702,PUNE,0:45,1:15,CSMT,4:55,5:25,3:40,4:40,4:40,'18:35
W,WTG,CSMT,0:0,0:0,CSMT,8:0,8:0,8:0,8:0,6:0,'29:30
Th,11071,LTT,13:30,14:0,IGP,16:25,16:55,2:25,3:25,0:0,'10:10
F,12618,IGP,3:5,3:35,PNVL,6:30,7:0,2:55,3:55,2:55,'16:5
F,12141,LTT,23:5,23:35,IGP,2:5,2:35,2:30,3:30,3:30,'15:10
Sa,12166,IGP,17:45,18:15,LTT,20:50,21:20,2:35,3:35,0:0,'16:10
Su,11019,CSMT,13:30,14:0,PUNE,17:50,18:20,3:50,4:50,0:0,'08:20
Duty 73 -
M,17317,PUNE,2:40,3:10,DR,7:0,7:30,3:50,4:50,3:20,'24:40
