Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
Tu,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'29:15
W,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'9:15
Th,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'31:50
F,12163,LTT,18:15,18:45,PUNE,22:10,22:40,3:25,4:25,0:40,'8:20
Sa,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'25:0
Su,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
Duty 10 -,,,,,,,,,,,
M,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'27:45
Tu,16345(P),LTT,11:25,11:40,RN,17:15,17:30,5:35,6:05,0:00,'29:20
W,20112,RN,22:50,23:20,CSMT,5:40,6:10,6:20,7:20,7:10,'33:45
F,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'9:15
Sa,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'31:50
Su,12163,LTT,18:15,18:45,PUNE,22:10,22:40,3:25,4:25,0:40,'08:20
Duty 11 -,,,,,,,,,,,
M,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'23:45
Tu,11059,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
Tu,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'20:15
W,11139,CSMT,20:50,21:20,PUNE,1:10,1:40,3:50,4:50,3:40,'23:50
F,22158,PUNE,1:30,2:00,CSMT,5:50,6:20,3:50,4:50,4:30,'29:20
Sa,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
Su,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'26:45
Duty 12 -,,,,,,,,,,,
M,11055,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
M,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'20:55
Tu,18029,LTT,21:30,22:00,IGP,0:40,1:10,2:40,3:40,3:10,'16:45
W,12860,IGP,17:55,18:25,CSMT,21:20,21:50,2:55,3:55,0:00,'23:0
Th,11139,CSMT,20:50,21:20,PUNE,1:10,1:40,3:50,4:50,3:40,'23:50
Sa,22158,PUNE,1:30,2:00,CSMT,5:50,6:20,3:50,4:50,4:30,'16:5
Sa,22157,CSMT,22:25,22:55,PUNE,2:55,3:25,4:00,5:00,5:00,'24:20
Duty 13 -,,,,,,,,,,,
M,22144,PUNE,3:45,4:15,CSMT,7:55,8:25,3:40,4:40,2:15,'31:30
Tu,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'9:15
W,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'31:50
Th,12163,LTT,18:15,18:45,PUNE,22:10,22:40,3:25,4:25,0:40,'8:20
F,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'29:15
Sa,12125,CSMT,15:55,16:25,PUNE,19:50,20:20,3:25,4:25,0:00,'9:15
Su,11010,PUNE,5:35,6:05,CSMT,9:55,10:25,3:50,4:50,0:25,'25:15
Duty 14 -,,,,,,,,,,,
M,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
Tu,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'28:0
W,12071,CSMT,11:40,12:10,IGP,15:00,15:30,2:50,3:50,0:00,'12:25
Th,17058,IGP,3:55,4:25,CSMT,7:10,7:40,2:45,3:45,2:05,'26:45
F,11055,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
F,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'19:10
Sa,12289,CSMT,19:45,20:15,IGP,22:35,23:05,2:20,3:20,1:05,'14:10
Su,14314,IGP,13:15,13:45,LTT,16:15,16:45,2:30,3:30,0:00,'27:00
Duty 15 -,,,,,,,,,,,
M,12289,CSMT,19:45,20:15,IGP,22:35,23:05,2:20,3:20,1:05,'15:25
Tu,15646,IGP,14:30,15:00,LTT,17:50,18:20,2:50,3:50,0:00,'16:5
W,11055,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
W,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'19:10
Th,12289,CSMT,19:45,20:15,IGP,22:35,23:05,2:20,3:20,1:05,'15:25
F,15646,IGP,14:30,15:00,LTT,17:50,18:20,2:50,3:50,0:00,'20:5
Sa,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
Su,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'28:35
After working duty number 15 the crew will pick up duty number 1,,,,,,,,,,,
Duty 16 -,,,,,,,,,,,
